system,seed,E_total,rel_energy,Fe_n,Fe_contact,Fe_contact_frac,Fe_roughness,Fe_height_mean,Fe_spread,fe_coverage,B_n,B_contact,B_contact_frac,B_roughness,B_height_mean,B_spread
femgo,seed_14,-434.9882998626628,1.921029564064213,25,9,0.36,0.8753517727117178,3.0381410379459464,2.7655327046369216,0.05952380952380952,,,,,,
femgo,seed_14,-434.8129375145426,2.0963919121844015,25,9,0.36,0.9246148159266881,3.1210674798127576,2.946817397061741,0.050724637681159424,,,,,,
femgo,seed_14,-435.45272189272197,1.4566075340050588,25,6,0.24,1.0023838980109034,3.329493436534902,3.5956479009414384,0.05555555555555555,,,,,,
femgo,seed_14,-434.08740762534734,2.8219218013796876,25,6,0.24,0.9398572996483188,3.3516843555557085,3.361295504128332,0.05194805194805195,,,,,,
femgo,seed_14,-435.13626435610996,1.773065070617065,25,8,0.32,0.8731118240994409,3.087247461167864,2.7843876087888546,0.06746031746031746,,,,,,
femgo,seed_14,-435.3854746762898,1.5238547504372377,25,8,0.32,0.9147518326722865,3.275226692284053,2.6773185467561724,0.06060606060606061,,,,,,
femgo,seed_14,-435.13593820336877,1.77339122335826,25,7,0.28,0.9390466645235613,3.3082076744049997,2.7979896739686314,0.06060606060606061,,,,,,
femgo,seed_14,-435.2044179338912,1.7049114928358335,25,6,0.24,0.9905741634728008,3.3434139456246674,3.496956887299584,0.05952380952380952,,,,,,
femgo,seed_14,-435.7717824079,1.1375470188270356,25,6,0.24,1.0123399332597223,3.3800472837137265,3.5697079707173955,0.051587301587301584,,,,,,
femgo,seed_3,-434.6810163219636,2.2283131047634015,25,5,0.2,1.0166723185523636,3.381008467332336,4.001641677421709,0.10416666666666667,,,,,,
femgo,seed_3,-433.9351506612345,2.9741787654925247,25,6,0.24,1.0081515579247537,3.310860687263595,4.0280562947570395,0.10119047619047619,,,,,,
femgo,seed_3,-434.1383102676519,2.771019159075138,25,4,0.16,1.0198185783185176,3.5334282337915095,3.9594157351935984,0.0979020979020979,,,,,,
femgo,seed_3,-434.3178194020268,2.5915100247001988,25,4,0.16,1.0345290968564829,3.5185174006580286,3.7061078753723127,0.1048951048951049,,,,,,
femgo,seed_3,-434.413976676835,2.4953527498920494,25,5,0.2,1.0041129275140381,3.51943380065749,3.7252660995295983,0.08974358974358974,,,,,,
femgo,seed_3,-434.68227888433483,2.227050542392192,25,7,0.28,0.9903151954670397,3.303143658296764,3.6597211187388528,0.09615384615384616,,,,,,
femgo,seed_3,-434.8690113408807,2.040318085846309,25,7,0.28,1.0264337720005872,3.4310741487227148,3.9641993046572246,0.09615384615384616,,,,,,
femgo,seed_3,-434.08613724137547,2.8231921853515587,25,5,0.2,1.0429764903363425,3.4567308317107233,4.023233212208945,0.11570247933884298,,,,,,
femgo,seed_3,-434.40791613328474,2.5014132934422832,25,5,0.2,0.9891679043254236,3.4066678905664203,3.6990630061207774,0.10256410256410256,,,,,,
femgo,seed_3,-434.54930982280564,2.360019603921387,25,6,0.24,1.0197791786508503,3.4426027084184194,3.8685079034419854,0.08974358974358974,,,,,,
femgo,seed_3,-434.0374201028812,2.8719093238458413,25,8,0.32,0.9519439467879166,3.3419796213024098,3.1723900194483257,0.11038961038961038,,,,,,
femgo,seed_3,-434.42253904566445,2.486790381062576,25,7,0.28,1.0229969705914708,3.412862558122025,3.7026983812827154,0.08974358974358974,,,,,,
femgo,seed_3,-434.4859019042098,2.4234275225172155,25,6,0.24,0.900763765029907,3.1776813804012742,2.550291601280824,0.09615384615384616,,,,,,
femgo,seed_3,-434.2963759777351,2.6129534489919024,25,3,0.12,1.046131978159137,3.7490234781593386,3.6731347776272507,0.09090909090909091,,,,,,
femgo,seed_3,-435.10041360818565,1.8089158185413794,25,5,0.2,1.0041281679881566,3.430282654596499,3.751406754222721,0.09615384615384616,,,,,,
femgo,seed_3,-434.56835603571375,2.3409733910132786,25,5,0.2,0.9926037580561828,3.473275405891008,3.4910384205428056,0.08333333333333333,,,,,,
femgo,seed_3,-434.69560041031093,2.213729016416096,25,6,0.24,1.0436257267923268,3.386494041122657,3.7468877660935327,0.09722222222222222,,,,,,
femgo,seed_3,-434.47664362639614,2.432685800330887,25,4,0.16,1.07786685295242,3.6685540340848166,3.791277224968379,0.0763888888888889,,,,,,
femgo,seed_3,-434.90260896204774,2.00672046467929,25,7,0.28,1.0197977142370973,3.305033897250232,3.7927744553905978,0.09615384615384616,,,,,,
femgo,seed_3,-433.99592158159925,2.9134078451277787,25,8,0.32,0.8561927996535883,3.0094111330757816,2.4161697251552905,0.11188811188811189,,,,,,
femgo,seed_3,-434.84609841899095,2.0632310077360785,25,6,0.24,1.037112325660172,3.4226051400754187,3.690864418312101,0.09615384615384616,,,,,,
femgo,seed_3,-435.1324802743008,1.776849152426223,25,6,0.24,1.0159424953650655,3.364798240080725,3.7015397338171034,0.10256410256410256,,,,,,
femgo,seed_3,-434.975338076862,1.933991349865039,25,6,0.24,1.0012472949624747,3.440301681386592,3.7160358789788877,0.08974358974358974,,,,,,
femgo,seed_3,-434.21014565452657,2.699183772200456,25,8,0.32,0.8721460555634112,3.121484847414079,2.5533354794032377,0.09615384615384616,,,,,,
femgo,seed_3,-435.31492588427136,1.594403542455666,25,5,0.2,0.9957168875820493,3.38851788675039,3.698482307171993,0.10256410256410256,,,,,,
femgo,seed_3,-434.1004440752438,2.808885351483241,25,5,0.2,1.1598815683698178,3.6257840695315315,3.827198911631079,0.09090909090909091,,,,,,
femgo,seed_6,-434.11046826453,2.7988611621969994,25,7,0.28,0.9567055636149264,3.3728994107853953,2.9825269274286086,0.05803571428571429,,,,,,
femgo,seed_6,-434.0226568528142,2.886672573912847,25,7,0.28,0.9487648932627653,3.337761201839881,2.9628420752871882,0.06696428571428571,,,,,,
femgo,seed_6,-434.09564143213,2.8136879945970463,25,8,0.32,0.9455572251746024,3.402220432361113,2.924903151981278,0.06696428571428571,,,,,,
femgo,seed_6,-434.0440882238399,2.865241202887148,25,10,0.4,0.915283516723506,3.2569517492946387,2.924807762780423,0.0625,,,,,,
femgo,seed_6,-434.6410146048043,2.268314821922729,25,10,0.4,0.9323016318481652,3.2621384801062305,2.9646069753840454,0.0625,,,,,,
femgo,seed_6,-434.92986611843094,1.97946330829609,25,8,0.32,0.9349850352854004,3.2767288531961514,2.9977343735827944,0.06190476190476191,,,,,,
femgo,seed_7,-434.1446118566638,2.764717570063226,25,9,0.36,0.8897824274994238,3.0835542300564525,2.6180833131477375,0.19480519480519481,,,,,,
femgo,seed_7,-434.6957260114619,2.2136034152651405,25,8,0.32,0.9492008455407225,3.175559743045934,3.1467559859973537,0.26666666666666666,,,,,,
femgo,seed_7,-434.23809342657273,2.6712360001542947,25,9,0.36,0.948257598132165,3.3173417202481246,3.057133012594109,0.23636363636363636,,,,,,
femgo,seed_7,-434.4800062663838,2.4293231603432446,25,9,0.36,1.0128568982775075,3.3573917564386453,3.1616973254127068,0.28,,,,,,
femgo,seed_7,-435.2557805005856,1.6535489261414114,25,9,0.36,0.9908026247859032,3.28563253274932,3.460904897468902,0.2727272727272727,,,,,,
femgo,seed_7,-435.4691907795547,1.4401386471723185,25,7,0.28,1.028445923974198,3.360791316861716,3.7077874240581554,0.26,,,,,,
femgo,seed_7,-434.5226046831613,2.3867247435657077,25,6,0.24,0.9775933780437039,3.319702459829386,3.7506380041149754,0.3090909090909091,,,,,,
femgo,seed_7,-434.0680378443728,2.841291582354245,25,8,0.32,0.9814982531342937,3.213073440084287,3.500662528550473,0.3,,,,,,
femgo,seed_7,-434.48203410609364,2.427295320633391,25,10,0.4,0.9732402799327563,3.1564484492515446,3.0959725761299257,0.2727272727272727,,,,,,
femgo,seed_7,-435.56940589413847,1.339923532588557,25,8,0.32,1.036138854526642,3.3421321055430337,3.817406963541327,0.3181818181818182,,,,,,
femgo,seed_7,-435.98338870466034,0.9259407220666844,25,9,0.36,1.0191692409833635,3.3118144348789853,3.5999863824393863,0.28,,,,,,
femgo,seed_7,-436.26451795478425,0.6448114719427736,25,7,0.28,1.0492306342683786,3.439476136716787,3.6771715916545453,0.3409090909090909,,,,,,
femgo,seed_7,-436.4300167295075,0.47931269721954095,25,7,0.28,0.9934813654206962,3.4220119043662005,3.5894184297089406,0.325,,,,,,
femgo,seed_7,-435.0969952634374,1.81233416328962,25,9,0.36,0.9950773273639145,3.320693747354925,3.16332357354562,0.26666666666666666,,,,,,
femgo,seed_7,-434.48749557452487,2.4218338522021554,25,5,0.2,1.0287532340983119,3.556788965854358,3.2680759019165784,0.2727272727272727,,,,,,
femgo,seed_7,-436.7253892597572,0.18394016696981907,25,7,0.28,1.0138224408984473,3.3722894986139,3.62073092624186,0.35,,,,,,
femgo,seed_7,-435.0918947150154,1.8174347117115985,25,7,0.28,1.0217594813376898,3.3975852566953644,3.308309830647353,0.36363636363636365,,,,,,
femgo,seed_7,-435.2785088628604,1.6308205638666209,25,9,0.36,0.9439201468418116,3.1485050521212496,2.911767167284806,0.26666666666666666,,,,,,
femgo,seed_7,-436.85650002333864,0.05282940338838671,25,9,0.36,1.0282487927110375,3.3625234250656137,3.6689500335440197,0.3409090909090909,,,,,,
femgo,seed_7,-436.6444384384548,0.2648909882722137,25,7,0.28,1.028075302984002,3.402729647580498,3.7195030148229637,0.3,,,,,,
femgo,seed_7,-436.909329426727,0.0,25,7,0.28,1.0226400871173624,3.4156409456241104,3.6520651425913826,0.3409090909090909,,,,,,
femgo,seed_7,-434.1240838894648,2.785245537262199,25,9,0.36,0.910102644024092,3.1567575972772124,2.7180571704729886,0.2545454545454545,,,,,,
femgo,seed_7,-436.35706953937654,0.5522598873504876,25,7,0.28,1.0040905314792652,3.3776587668123814,3.679502314835739,0.35,,,,,,
femgo,seed_7,-436.112612285749,0.7967171409780462,25,7,0.28,1.048053165785385,3.4114399918176344,3.7254776750100245,0.3409090909090909,,,,,,
femgo,seed_7,-436.7982714024932,0.11105802423384148,25,6,0.24,1.0228407496012533,3.392740216483615,3.6573581155666623,0.3409090909090909,,,,,,
femgo,seed_7,-434.2808190732678,2.6285103534592054,25,9,0.36,1.0009176712856698,3.2954321905630155,3.0374867532429395,0.26666666666666666,,,,,,
femgo,seed_7,-435.4169456430724,1.4923837836546454,25,9,0.36,0.9546499828385487,3.1685471752446634,2.917809697393995,0.2833333333333333,,,,,,
femgo,seed_7,-436.8974650128373,0.011864413889725256,25,7,0.28,1.0195745044462274,3.3710461824569156,3.647511507052016,0.3409090909090909,,,,,,
femgo,seed_7,-436.88441363753026,0.0249157891967684,25,7,0.28,1.016360679681648,3.3769151147976904,3.66290830586302,0.3409090909090909,,,,,,
femgo,seed_7,-436.8864014239148,0.02292800281225027,25,7,0.28,1.0025185904966543,3.3416044519056296,3.579664916573213,0.3409090909090909,,,,,,
femgo,seed_7,-436.35610937923536,0.5532200474916635,25,7,0.28,1.040261919320368,3.367122477350106,3.6779841442947223,0.29545454545454547,,,,,,
femgo,seed_7,-436.0691073173389,0.8402221093881508,25,8,0.32,1.032050116196894,3.3689026334506775,3.673828714739379,0.2916666666666667,,,,,,
femgo,seed_7,-436.2026168066009,0.7067126201261544,25,7,0.28,1.0320986330239434,3.39759051406649,3.6896394029599566,0.2916666666666667,,,,,,
femgo,seed_7,-436.8849433882039,0.024386038523118714,25,9,0.36,1.012838826133543,3.334600731388625,3.608337442143725,0.3409090909090909,,,,,,
femgo,seed_7,-436.8815679318688,0.027761494858225433,25,7,0.28,1.0133222330050526,3.3553370109551865,3.621488003783691,0.3409090909090909,,,,,,
femgo,seed_7,-436.1823921181399,0.7269373085871393,25,7,0.28,1.0315447922356535,3.314612481357465,3.5967976044529877,0.29545454545454547,,,,,,
femgo,seed_7,-434.9993030890234,1.9100263377036413,25,7,0.28,0.9553496376133827,3.2854601394274043,2.795699387254647,0.2909090909090909,,,,,,
femgo,seed_7,-436.85668166893066,0.05264775779636466,25,9,0.36,1.0109619448821967,3.3546442628441753,3.6128555010764973,0.3409090909090909,,,,,,
femgo,seed_7,-436.43644849041397,0.47288093631306083,25,8,0.32,1.0194459503179332,3.4320797150012017,3.712858715030496,0.35,,,,,,
femgo,seed_7,-436.83607022121294,0.07325920551409126,25,8,0.32,1.0126252694106794,3.349085387673783,3.633694837838801,0.3409090909090909,,,,,,
femgo,seed_7,-436.8494687106653,0.05986071606173482,25,7,0.28,1.018371047931034,3.387345467296009,3.639138601318926,0.3409090909090909,,,,,,
femgo,seed_7,-436.865885936359,0.043443490368019866,25,9,0.36,1.0227360311529363,3.358210303577209,3.6476798524845364,0.3409090909090909,,,,,,
femgo,seed_7,-436.845246340006,0.06408308672104113,25,7,0.28,1.0128292879828762,3.381447678916723,3.6397322028828256,0.3409090909090909,,,,,,
femgo,seed_7,-436.20781737085633,0.701512055870694,25,6,0.24,1.0416849002105941,3.407183422687899,3.701338346663892,0.2727272727272727,,,,,,
